20170131 20:52:05.768 - [IMTP][CLEAR] OrderBookId: 1821, Side: S
20170131 20:52:05.768 - [IMSS] Group: 259, OrderBookId: 1203
20170131 20:52:05.769 - [IMTP][CLEAR] OrderBookId: 1203, Side: B
20170131 20:52:05.769 - [IMTP][CLEAR] OrderBookId: 1203, Side: S
20170131 20:52:05.769 - [IMSS] Group: 259, OrderBookId: 1592
20170131 20:52:05.769 - [IMTP][CLEAR] OrderBookId: 1592, Side: B
20170131 20:52:05.769 - [IMTP][CLEAR] OrderBookId: 1592, Side: S
20170131 20:52:05.770 - [IMSS] Group: 259, OrderBookId: 21421
20170131 20:52:05.770 - [IMTP][CLEAR] OrderBookId: 21421, Side: B
20170131 20:52:05.770 - [IMTP][CLEAR] OrderBookId: 21421, Side: S
20170131 20:52:05.770 - [IMSS] Group: 259, OrderBookId: 2138
20170131 20:52:05.771 - [IMTP][CLEAR] OrderBookId: 2138, Side: B
20170131 20:52:05.771 - [IMTP][CLEAR] OrderBookId: 2138, Side: S
20170131 20:52:05.771 - [IMSS] Group: 259, OrderBookId: 2757
20170131 20:52:05.772 - [IMTP][CLEAR] OrderBookId: 2757, Side: B
20170131 20:52:05.772 - [IMTP][CLEAR] OrderBookId: 2757, Side: S
20170131 20:52:05.772 - [IMSS] Group: 259, OrderBookId: 11926
20170131 20:52:05.772 - [IMTP][CLEAR] OrderBookId: 11926, Side: B
20170131 20:52:05.772 - [IMTP][CLEAR] OrderBookId: 11926, Side: S
20170131 20:52:05.773 - [IMSS] Group: 259, OrderBookId: 2209
20170131 20:52:05.773 - [IMTP][CLEAR] OrderBookId: 2209, Side: B
20170131 20:52:05.773 - [IMTP][CLEAR] OrderBookId: 2209, Side: S
20170131 20:52:05.773 - [IMSS] Group: 259, OrderBookId: 2227
20170131 20:52:05.774 - [IMTP][CLEAR] OrderBookId: 2227, Side: B
20170131 20:52:05.774 - [IMTP][CLEAR] OrderBookId: 2227, Side: S
20170131 20:52:05.774 - [IMSS] Group: 259, OrderBookId: 2695
20170131 20:52:05.775 - [IMTP][CLEAR] OrderBookId: 2695, Side: B
20170131 20:52:05.775 - [IMTP][CLEAR] OrderBookId: 2695, Side: S
20170131 20:52:05.775 - [IMSS] Group: 259, OrderBookId: 1674
20170131 20:52:05.775 - [IMTP][CLEAR] OrderBookId: 1674, Side: B
20170131 20:52:05.775 - [IMTP][CLEAR] OrderBookId: 1674, Side: S
20170131 20:52:05.776 - [IMSS] Group: 259, OrderBookId: 1145
20170131 20:52:05.776 - [IMTP][CLEAR] OrderBookId: 1145, Side: B
20170131 20:52:05.776 - [IMTP][CLEAR] OrderBookId: 1145, Side: S
20170131 20:52:05.776 - [IMSS] Group: 259, OrderBookId: 8681
20170131 20:52:05.777 - [IMTP][CLEAR] OrderBookId: 8681, Side: B
20170131 20:52:05.777 - [IMTP][CLEAR] OrderBookId: 8681, Side: S
20170131 20:52:05.777 - [IMSS] Group: 259, OrderBookId: 2849
20170131 20:52:05.778 - [IMTP][CLEAR] OrderBookId: 2849, Side: B
20170131 20:52:05.778 - [IMTP][CLEAR] OrderBookId: 2849, Side: S
20170131 20:52:05.778 - [IMSS] Group: 259, OrderBookId: 22357
20170131 20:52:05.779 - [IMTP][CLEAR] OrderBookId: 22357, Side: B
20170131 20:52:05.779 - [IMTP][CLEAR] OrderBookId: 22357, Side: S
20170131 20:52:05.779 - [IMSS] Group: 259, OrderBookId: 2147
20170131 20:52:05.779 - [IMTP][CLEAR] OrderBookId: 2147, Side: B
20170131 20:52:05.779 - [IMTP][CLEAR] OrderBookId: 2147, Side: S
20170131 20:52:05.779 - [IMSS] Group: 259, OrderBookId: 2001
20170131 20:52:05.780 - [IMTP][CLEAR] OrderBookId: 2001, Side: B
20170131 20:52:05.780 - [IMTP][CLEAR] OrderBookId: 2001, Side: S
20170131 20:52:05.780 - [IMSS] Group: 259, OrderBookId: 1589
20170131 20:52:05.781 - [IMTP][CLEAR] OrderBookId: 1589, Side: B
20170131 20:52:05.781 - [IMTP][CLEAR] OrderBookId: 1589, Side: S
20170131 20:52:05.781 - [IMSS] Group: 259, OrderBookId: 16437
20170131 20:52:05.782 - [IMTP][CLEAR] OrderBookId: 16437, Side: B
20170131 20:52:05.782 - [IMTP][CLEAR] OrderBookId: 16437, Side: S
20170131 20:52:05.782 - [IMSS] Group: 259, OrderBookId: 2388
20170131 20:52:05.782 - [IMTP][CLEAR] OrderBookId: 2388, Side: B
20170131 20:52:05.782 - [IMTP][CLEAR] OrderBookId: 2388, Side: S
20170131 20:52:05.782 - [IMSS] Group: 259, OrderBookId: 10989
20170131 20:52:05.783 - [IMTP][CLEAR] OrderBookId: 10989, Side: B
20170131 20:52:05.783 - [IMTP][CLEAR] OrderBookId: 10989, Side: S
20170131 20:52:05.783 - [IMSS] Group: 259, OrderBookId: 2470
20170131 20:52:05.784 - [IMTP][CLEAR] OrderBookId: 2470, Side: B
20170131 20:52:05.784 - [IMTP][CLEAR] OrderBookId: 2470, Side: S
20170131 20:52:05.784 - [IMSS] Group: 259, OrderBookId: 2540
20170131 20:52:05.785 - [IMTP][CLEAR] OrderBookId: 2540, Side: B
20170131 20:52:05.785 - [IMTP][CLEAR] OrderBookId: 2540, Side: S
20170131 20:52:05.785 - [IMSS] Group: 259, OrderBookId: 1779
20170131 20:52:05.785 - [IMTP][CLEAR] OrderBookId: 1779, Side: B
20170131 20:52:05.785 - [IMTP][CLEAR] OrderBookId: 1779, Side: S
20170131 20:52:05.785 - [IMSS] Group: 259, OrderBookId: 2549
20170131 20:52:05.786 - [IMTP][CLEAR] OrderBookId: 2549, Side: B
20170131 20:52:05.786 - [IMTP][CLEAR] OrderBookId: 2549, Side: S
20170131 20:52:05.786 - [IMSS] Group: 259, OrderBookId: 1812
20170131 20:52:05.787 - [IMTP][CLEAR] OrderBookId: 1812, Side: B
20170131 20:52:05.787 - [IMTP][CLEAR] OrderBookId: 1812, Side: S
20170131 20:52:05.787 - [IMSS] Group: 259, OrderBookId: 2701
20170131 20:52:05.788 - [IMTP][CLEAR] OrderBookId: 2701, Side: B
20170131 20:52:05.788 - [IMTP][CLEAR] OrderBookId: 2701, Side: S
20170131 20:52:05.788 - [IMSS] Group: 259, OrderBookId: 1723
20170131 20:52:05.788 - [IMTP][CLEAR] OrderBookId: 1723, Side: B
20170131 20:52:05.788 - [IMTP][CLEAR] OrderBookId: 1723, Side: S
20170131 20:52:05.788 - [IMSS] Group: 259, OrderBookId: 1157
20170131 20:52:05.789 - [IMTP][CLEAR] OrderBookId: 1157, Side: B
20170131 20:52:05.789 - [IMTP][CLEAR] OrderBookId: 1157, Side: S
20170131 20:52:05.789 - [IMSS] Group: 259, OrderBookId: 2607
20170131 20:52:05.790 - [IMTP][CLEAR] OrderBookId: 2607, Side: B
20170131 20:52:05.790 - [IMTP][CLEAR] OrderBookId: 2607, Side: S
